order;feature;name;api_or_method;method;units
1;present;Есть xTB-блок;pipeline flag;pipeline;flag
2;has_opt;Флаг выполнения оптимизации;pipeline flag;pipeline;flag
3;energy;Полная энергия;xtb.interface.Results.get_energy / get_orbital_eigenvalues;GFN2-xTB;Eh
4;natoms;Число неводородных атомов;geometry post-processing;pipeline;count / A
5;energy_per_atom;Энергия на атом;xtb.interface.Results.get_energy / get_orbital_eigenvalues;GFN2-xTB;Eh
6;rg;Радиус инерции;geometry post-processing;pipeline;count / A
7;dipole_norm;Полярность молекулы;xtb.interface.Results.get_dipole;GFN2-xTB;Debye-like xTB output
8;grad_norm;Удаленность структуры от локального минимума;ase.optimize.BFGS / xtb gradient;ASE BFGS + GFN2-xTB;a.u.
9;homo;Энергия HOMO;xtb.interface.Results.get_energy / get_orbital_eigenvalues;GFN2-xTB;Eh
10;lumo;Энергия LUMO;xtb.interface.Results.get_energy / get_orbital_eigenvalues;GFN2-xTB;Eh
11;gap;HOMO-LUMO gap;xtb.interface.Results.get_energy / get_orbital_eigenvalues;GFN2-xTB;Eh
12;opt_converged;Флаг успешной геометрической оптимизации;pipeline flag;pipeline;flag
13;opt_nsteps;Количество шагов оптимизации;ase.optimize.BFGS.run;ASE BFGS + GFN2-xTB;steps
14;opt_fmax_last;Последнее значение максимальной силы в оптимизации.;ase.optimize.BFGS / xtb gradient;ASE BFGS + GFN2-xTB;a.u.
15;opt_fmax_thr;Порог fmax, при котором останавливается оптимизация;ase.optimize.BFGS / xtb gradient;ASE BFGS + GFN2-xTB;a.u.
16;q_n;Количество атомных зарядов;xtb.interface.Results.get_charges;GFN2-xTB;e
17;q_mean;Среднее значение атомных зарядов;xtb.interface.Results.get_charges;GFN2-xTB;e
18;q_std;Стандартное отклонение атомных зарядов;xtb.interface.Results.get_charges;GFN2-xTB;e
19;q_min;Минимальный атомный заряд;xtb.interface.Results.get_charges;GFN2-xTB;e
20;q_max;Максимальный атомный заряд;xtb.interface.Results.get_charges;GFN2-xTB;e
21;q_q10;10-й перцентиль распределения атомных зарядов;xtb.interface.Results.get_charges;GFN2-xTB;e
22;q_q50;медиана распределения атомных зарядов;xtb.interface.Results.get_charges;GFN2-xTB;e
23;q_q90;90-й перцентиль распределения атомных зарядов;xtb.interface.Results.get_charges;GFN2-xTB;e
24;q_l1;Сумма модулей атомных зарядов;xtb.interface.Results.get_charges;GFN2-xTB;e
25;q_l2;Евклидова норма вектора атомных зарядов;xtb.interface.Results.get_charges;GFN2-xTB;e
26;q_frac_gt_0.05;Доля атомов с зарядом > 0.05 e;xtb.interface.Results.get_charges;GFN2-xTB;e
27;q_frac_lt_-0.05;Доля атомов с зарядом < -0.05 e;xtb.interface.Results.get_charges;GFN2-xTB;e
28;q_frac_gt_0.1;Доля атомов с зарядом > 0.1 e;xtb.interface.Results.get_charges;GFN2-xTB;e
29;q_frac_lt_-0.1;Доля атомов с зарядом < -0.1 e;xtb.interface.Results.get_charges;GFN2-xTB;e
30;q_frac_gt_0.2;Доля атомов с зарядом > 0.2 e;xtb.interface.Results.get_charges;GFN2-xTB;e
31;q_frac_lt_-0.2;Доля атомов с зарядом < -0.2 e;xtb.interface.Results.get_charges;GFN2-xTB;e
32;bo_sum;Сумма всех межатомных порядков связей;xtb.interface.Results.get_bond_orders;GFN2-xTB;a.u.
33;bo_mean;Средний межатомный порядок связи;xtb.interface.Results.get_bond_orders;GFN2-xTB;a.u.
34;bo_max;Наибольший межатомный порядок связи;xtb.interface.Results.get_bond_orders;GFN2-xTB;a.u.
35;bo_q25;Нижний квартиль порядков связей;xtb.interface.Results.get_bond_orders;GFN2-xTB;a.u.
36;bo_q50;Медиана распределения порядков связей;xtb.interface.Results.get_bond_orders;GFN2-xTB;a.u.
37;bo_q75;Верхний квартиль порядков связей;xtb.interface.Results.get_bond_orders;GFN2-xTB;a.u.
38;bo_n_pairs;Кол-во пар атомов с порядоком связи >=  0.05;xtb.interface.Results.get_bond_orders;GFN2-xTB;a.u.
39;bo_sum_thr;Сумма порядков связей (у которых порядок > порога);xtb.interface.Results.get_bond_orders;GFN2-xTB;a.u.
40;bo_mean_thr;Средний порядок связи (у которых порядок > порога);xtb.interface.Results.get_bond_orders;GFN2-xTB;a.u.
41;bo_max_thr;Максимальный порядок связи (у которых порядок > порога);xtb.interface.Results.get_bond_orders;GFN2-xTB;a.u.
42;bo_sum_norm_natoms;Сумма порядков связей, делённая на число атомов;xtb.interface.Results.get_bond_orders;GFN2-xTB;a.u.
43;frontier_homo-3;Энергия HOMO-3;xtb.interface.Results.get_orbital_eigenvalues;GFN2-xTB;Eh
44;frontier_homo-2;Энергия HOMO-2;xtb.interface.Results.get_orbital_eigenvalues;GFN2-xTB;Eh
45;frontier_homo-1;Энергия HOMO-1;xtb.interface.Results.get_orbital_eigenvalues;GFN2-xTB;Eh
46;frontier_homo+0;Энергия HOMO;xtb.interface.Results.get_orbital_eigenvalues;GFN2-xTB;Eh
47;frontier_lumo+0;Энергия LUMO;xtb.interface.Results.get_orbital_eigenvalues;GFN2-xTB;Eh
